"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in weight"	"kselim"	"weight"	"weightfisher"
"2"	"GO:0006626"	"protein targeting to mitochondrion"	217	12	10.65	2	"5.1e-05"	"9.7e-05"	"0.31656"
"3"	"GO:0032543"	"mitochondrial translation"	157	10	7.7	3	"0.00010"	"0.00010"	"0.24187"
"4"	"GO:0006457"	"protein folding"	198	15	9.71	4	"0.00013"	"0.00013"	"0.06232"
"5"	"GO:0006641"	"triglyceride metabolic process"	131	11	6.43	5	"0.00015"	"0.00015"	"0.05670"
"6"	"GO:0006637"	"acyl-CoA metabolic process"	119	9	5.84	6	"0.00057"	"0.00057"	"0.12975"
"7"	"GO:0050792"	"regulation of viral process"	210	11	10.3	7	"0.31949"	"0.00099"	"0.33139"
"8"	"GO:0019748"	"secondary metabolic process"	233	23	11.43	8	"0.01651"	"0.00139"	"0.00158"
"9"	"GO:0008637"	"apoptotic mitochondrial changes"	102	10	5	9	"0.00142"	"0.00142"	"0.02763"
"10"	"GO:0017038"	"protein import"	521	29	25.56	10	"0.00050"	"0.00158"	"0.41427"
"11"	"GO:0042594"	"response to starvation"	410	32	20.12	11	"0.07844"	"0.00210"	"0.00199"
"12"	"GO:0071248"	"cellular response to metal ion"	153	14	7.51	12	"0.00269"	"0.00269"	"0.01796"
"13"	"GO:0048565"	"digestive tract development"	389	22	19.09	13	"0.04886"	"0.00273"	"0.85405"
"14"	"GO:0090090"	"negative regulation of canonical Wnt sig..."	123	13	6.03	14	"0.00292"	"0.00292"	"0.00716"
"20"	"GO:0034754"	"cellular hormone metabolic process"	185	13	9.08	20	"0.00469"	"0.00469"	"0.12204"
"21"	"GO:0006720"	"isoprenoid metabolic process"	105	7	5.15	21	"0.00490"	"0.00490"	"0.25622"
"22"	"GO:0042335"	"cuticle development"	437	34	21.44	22	"0.02660"	"0.00498"	"0.02880"
"23"	"GO:1901565"	"organonitrogen compound catabolic proces..."	1252	67	61.43	23	"0.16768"	"0.00521"	"0.07054"
"24"	"GO:0071560"	"cellular response to transforming growth..."	281	22	13.79	24	"0.00197"	"0.00560"	"0.00125"
"25"	"GO:0046683"	"response to organophosphorus"	131	17	6.43	25	"0.00584"	"0.00584"	"0.00022"
"26"	"GO:0001935"	"endothelial cell proliferation"	120	9	5.89	26	"0.12539"	"0.00748"	"0.14729"
"27"	"GO:0007405"	"neuroblast proliferation"	264	13	12.95	27	"0.22177"	"0.00782"	"0.47382"
"29"	"GO:1901575"	"organic substance catabolic process"	1948	96	95.58	29	"0.03694"	"0.00843"	"0.59580"
"30"	"GO:0030509"	"BMP signaling pathway"	229	18	11.24	30	"0.04576"	"0.00936"	"0.03635"
"31"	"GO:0009968"	"negative regulation of signal transducti..."	1310	73	64.27	31	"0.20324"	"0.00937"	"0.39185"
"32"	"GO:0006865"	"amino acid transport"	196	17	9.62	32	"0.00957"	"0.00957"	"0.01591"
"34"	"GO:0014074"	"response to purine-containing compound"	178	21	8.73	34	"0.01017"	"0.01017"	"0.00016"
"35"	"GO:0055007"	"cardiac muscle cell differentiation"	159	17	7.8	35	"0.03383"	"0.01035"	"0.00081"
