lcl|NC_015762.1_mrna_XM_012316519.2_1	LOC100649911
lcl|NC_015762.1_mrna_XM_003392857.3_2	LOC100648154
lcl|NC_015762.1_mrna_XM_003392856.3_3	LOC100648043
lcl|NC_015762.1_mrna_XM_003392855.3_4	LOC100647922
lcl|NC_015762.1_mrna_XM_003392854.3_5	LOC100647800
lcl|NC_015762.1_mrna_XM_020868627.1_6	LOC110120351
lcl|NC_015762.1_mrna_XM_012315933.2_7	LOC100647405
lcl|NC_015762.1_mrna_XM_020863580.1_8	LOC100647405
lcl|NC_015762.1_mrna_XM_012315683.2_9	LOC100647405
lcl|NC_015762.1_mrna_XM_012315808.2_10	LOC100647405
lcl|NC_015762.1_mrna_XM_012315747.2_11	LOC100647405
lcl|NC_015762.1_mrna_XM_020863569.1_12	LOC100647405
lcl|NC_015762.1_mrna_XM_012315994.2_13	LOC100647405
lcl|NC_015762.1_mrna_XM_012316058.2_14	LOC100647405
lcl|NC_015762.1_mrna_XM_012315870.2_15	LOC100647405
lcl|NC_015762.1_mrna_XM_020863575.1_16	LOC100647405
lcl|NC_015762.1_mrna_XM_020863582.1_17	LOC100647405
lcl|NC_015762.1_ncrna_XR_001099275.2_18	LOC105666407
lcl|NC_015762.1_mrna_XM_020863598.1_19	LOC100649793
lcl|NC_015762.1_mrna_XM_012315543.2_20	LOC100647601
lcl|NC_015762.1_mrna_XM_003392850.3_21	LOC100647285
lcl|NC_015762.1_mrna_XM_003392849.3_22	LOC100647171
lcl|NC_015762.1_mrna_XM_003392844.3_23	LOC100646573
lcl|NC_015762.1_mrna_XM_003392846.3_24	LOC100646815
lcl|NC_015762.1_mrna_XM_003392845.3_25	LOC100646694
lcl|NC_015762.1_mrna_XM_012314565.2_26	LOC100646937
lcl|NC_015762.1_mrna_XM_012314449.2_27	LOC100646937
lcl|NC_015762.1_mrna_XM_012314678.2_28	LOC100646937
lcl|NC_015762.1_mrna_XM_012314626.2_29	LOC100646937
lcl|NC_015762.1_mrna_XM_012314515.2_30	LOC100646937
lcl|NC_015762.1_miscrna_XR_002307964.1_31	LOC100647053
lcl|NC_015762.1_mrna_XM_020864091.1_32	LOC100647053
lcl|NC_015762.1_mrna_XM_020864108.1_33	LOC100647053
lcl|NC_015762.1_mrna_XM_020864097.1_34	LOC100647053
lcl|NC_015762.1_mrna_XM_020864093.1_35	LOC100647053
lcl|NC_015762.1_mrna_XM_020864102.1_36	LOC100647053
lcl|NC_015762.1_mrna_XM_020864088.1_37	LOC100647053
lcl|NC_015762.1_mrna_XM_020864106.1_38	LOC100647053
lcl|NC_015762.1_mrna_XM_020864099.1_39	LOC100647053
lcl|NC_015762.1_mrna_XM_020864087.1_40	LOC100647053
lcl|NC_015762.1_ncrna_XR_001099182.2_41	LOC105666289
lcl|NC_015762.1_mrna_XM_012314154.2_42	LOC100649679
lcl|NC_015762.1_mrna_XM_020864125.1_43	LOC100649559
lcl|NC_015762.1_mrna_XM_020868629.1_44	LOC100649434
lcl|NC_015762.1_mrna_XM_012313740.2_45	LOC100646214
lcl|NC_015762.1_mrna_XM_012313921.2_46	LOC100646091
